generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
2,20,0.6878306878306879,0.005807885018422765,90,64,0.4,0.4,0.3,64,32,16,8
3,1,0.0,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
3,2,0.3387096774193548,0.004341889083061742,90,16,0.1,0.4,0.0,64,32,16,8
3,3,0.0,0.0003452238175017188,49,64,0.4,0.3,0.4,64,32,16,8
3,4,0.46874999999999994,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
3,5,0.3119266055045872,0.005807885018422765,90,64,0.4,0.4,0.3,64,32,16,8
3,6,0.7078651685393258,0.005677918413839926,90,16,0.4,0.3,0.3,64,32,16,8
3,7,0.4444444444444444,0.004341889083061742,90,16,0.4,0.3,0.2,64,32,16,8
3,8,0.6190476190476192,0.005677918413839926,37,16,0.4,0.3,0.3,64,32,16,8
3,9,0.6889952153110048,0.003148302188694549,76,32,0.3,0.3,0.1,64,32,16,8
3,10,0.648936170212766,0.005807885018422765,90,64,0.4,0.4,0.3,64,32,16,8
3,11,0.5616438356164384,0.004341889083061742,90,16,0.4,0.3,0.3,64,32,16,8
3,12,0.5751633986928105,0.003148302188694549,90,16,0.3,0.3,0.3,64,32,16,8
3,13,0.12962962962962962,0.005677918413839926,37,64,0.4,0.3,0.3,64,32,16,8
3,14,0.1797752808988764,0.0002888968803052222,72,32,0.1,0.2,0.3,64,32,16,8
3,15,0.5070422535211268,0.00037900586552769077,70,32,0.2,0.4,0.0,64,32,16,8
3,16,0.564885496183206,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
3,17,0.5227272727272726,0.004341889083061742,90,16,0.4,0.3,0.3,64,32,16,8
3,18,0.6538461538461539,0.005677918413839926,37,64,0.3,0.3,0.1,64,32,16,8
3,19,0.6467661691542288,0.003148302188694549,76,16,0.4,0.3,0.3,64,32,16,8
