Modelo,Accuracy,Precision,Recall,F1-Score,ROC AUC,Tiempo (s)
Modelo Base,0.7934782608695652,0.7962962962962963,0.8431372549019608,0.8190476190476189,0.8757771401243424,1.0481799999834038
Modelo Híbrido GA + MLP,0.8260869565217391,0.8125,0.8921568627450981,0.8504672897196263,0.893352462936394,0.5854608999798074
