Parámetro,Valor
Algoritmo,GA (Genetic Algorithm)
Generaciones,50
Tamaño de población,20
Probabilidad de cruce,0.8
Probabilidad de mutación,0.1
Fitness,F1-Score en validación
Hiperparámetros optimizados,"learning rate, épocas, batch size, dropout"
Mejor configuración,"{""learning_rate"": 0.01, ""epochs"": 79, ""batch_size"": 32, ""dropout1"": 0.0, ""dropout2"": 0.2, ""dropout3"": 0.3, ""h1"": 64, ""h2"": 32, ""h3"": 16, ""patience"": 8}"
